,ABZLGW,,ABZ,LGW,ABZLGW
,ABZLTN,,ABZ,LTN,ABZLTN
,ACELGW,,ACE,LGW,ACELGW
,ACELPL,,ACE,LPL,ACELPL
,ADBLGW,,ADB,LGW,ADBLGW
,AGACDG,,AGA,CDG,AGACDG
,AGALGW,,AGA,LGW,AGALGW
,AGALYS,,AGA,LYS,AGALYS
,AGASXF,,AGA,SXF,AGASXF
,AGPBFS,,AGP,BFS,AGPBFS
,AGPBRS,,AGP,BRS,AGPBRS
,AGPBSL,,AGP,BSL,AGPBSL
,AGPCDG,,AGP,CDG,AGPCDG
,AGPGLA,,AGP,GLA,AGPGLA
,AGPGVA,,AGP,GVA,AGPGVA
,AGPLGW,,AGP,LGW,AGPLGW
,AGPLPL,,AGP,LPL,AGPLPL
,AGPLTN,,AGP,LTN,AGPLTN
,AGPMAN,,AGP,MAN,AGPMAN
,AGPMXP,,AGP,MXP,AGPMXP
,AGPNCL,,AGP,NCL,AGPNCL
,AGPSEN,,AGP,SEN,AGPSEN
,AGPSTN,,AGP,STN,AGPSTN
,AGPSXF,,AGP,SXF,AGPSXF
,AHOMXP,,AHO,MXP,AHOMXP
,AJABSL,,AJA,BSL,AJABSL
,AJACDG,,AJA,CDG,AJACDG
,AJAGVA,,AJA,GVA,AJAGVA
,AJALYS,,AJA,LYS,AJALYS
,ALCBFS,,ALC,BFS,ALCBFS
,ALCBRS,,ALC,BRS,ALCBRS
,ALCBSL,,ALC,BSL,ALCBSL
,ALCEDI,,ALC,EDI,ALCEDI
,ALCGLA,,ALC,GLA,ALCGLA
,ALCGVA,,ALC,GVA,ALCGVA
,ALCLGW,,ALC,LGW,ALCLGW
,ALCLPL,,ALC,LPL,ALCLPL
,ALCLTN,,ALC,LTN,ALCLTN
,ALCMAN,,ALC,MAN,ALCMAN
,ALCNCL,,ALC,NCL,ALCNCL
,ALCSEN,,ALC,SEN,ALCSEN
,ALCSTN,,ALC,STN,ALCSTN
,AMMLGW,,AMM,LGW,AMMLGW
,AMSBCN,,AMS,BCN,AMSBCN
,AMSBFS,,AMS,BFS,AMSBFS
,AMSBRS,,AMS,BRS,AMSBRS
,AMSBSL,,AMS,BSL,AMSBSL
,AMSEDI,,AMS,EDI,AMSEDI
,AMSFCO,,AMS,FCO,AMSFCO
,AMSGLA,,AMS,GLA,AMSGLA
,AMSGVA,,AMS,GVA,AMSGVA
,AMSLGW,,AMS,LGW,AMSLGW
,AMSLIS,,AMS,LIS,AMSLIS
,AMSLPL,,AMS,LPL,AMSLPL
,AMSLTN,,AMS,LTN,AMSLTN
,AMSMAD,,AMS,MAD,AMSMAD
,AMSMAN,,AMS,MAN,AMSMAN
,AMSMXP,,AMS,MXP,AMSMXP
,AMSPRG,,AMS,PRG,AMSPRG
,AMSSEN,,AMS,SEN,AMSSEN
,AMSSTN,,AMS,STN,AMSSTN
,AMSSXF,,AMS,SXF,AMSSXF
,ARNGVA,,ARN,GVA,ARNGVA
,ATHEDI,,ATH,EDI,ATHEDI
,ATHFCO,,ATH,FCO,ATHFCO
,ATHGVA,,ATH,GVA,ATHGVA
,ATHLGW,,ATH,LGW,ATHLGW
,ATHMAN,,ATH,MAN,ATHMAN
,ATHMXP,,ATH,MXP,ATHMXP
,ATHORY,,ATH,ORY,ATHORY
,ATHSXF,,ATH,SXF,ATHSXF
,AYTLGW,,AYT,LGW,AYTLGW
,BCNAMS,,BCN,AMS,BCNAMS
,BCNBFS,,BCN,BFS,BCNBFS
,BCNBRS,,BCN,BRS,BCNBRS
,BCNBSL,,BCN,BSL,BCNBSL
,BCNCDG,,BCN,CDG,BCNCDG
,BCNDTM,,BCN,DTM,BCNDTM
,BCNGVA,,BCN,GVA,BCNGVA
,BCNLGW,,BCN,LGW,BCNLGW
,BCNLIS,,BCN,LIS,BCNLIS
,BCNLPL,,BCN,LPL,BCNLPL
,BCNLTN,,BCN,LTN,BCNLTN
,BCNLYS,,BCN,LYS,BCNLYS
,BCNMXP,,BCN,MXP,BCNMXP
,BCNNCE,,BCN,NCE,BCNNCE
,BCNNCL,,BCN,NCL,BCNNCL
,BCNSEN,,BCN,SEN,BCNSEN
,BCNSTN,,BCN,STN,BCNSTN
,BCNSXF,,BCN,SXF,BCNSXF
,BDSGVA,,BDS,GVA,BDSGVA
,BDSMXP,,BDS,MXP,BDSMXP
,BESLYS,,BES,LYS,BESLYS
,BFSAGP,,BFS,AGP,BFSAGP
,BFSALC,,BFS,ALC,BFSALC
,BFSAMS,,BFS,AMS,BFSAMS
,BFSBCN,,BFS,BCN,BFSBCN
,BFSBRS,,BFS,BRS,BFSBRS
,BFSCDG,,BFS,CDG,BFSCDG
,BFSEDI,,BFS,EDI,BFSEDI
,BFSFAO,,BFS,FAO,BFSFAO
,BFSGLA,,BFS,GLA,BFSGLA
,BFSKRK,,BFS,KRK,BFSKRK
,BFSLGW,,BFS,LGW,BFSLGW
,BFSLPL,,BFS,LPL,BFSLPL
,BFSLTN,,BFS,LTN,BFSLTN
,BFSMAN,,BFS,MAN,BFSMAN
,BFSMLA,,BFS,MLA,BFSMLA
,BFSNCL,,BFS,NCL,BFSNCL
,BFSPMI,,BFS,PMI,BFSPMI
,BFSSEN,,BFS,SEN,BFSSEN
,BFSSTN,,BFS,STN,BFSSTN
,BIACDG,,BIA,CDG,BIACDG
,BIAGVA,,BIA,GVA,BIAGVA
,BIALYS,,BIA,LYS,BIALYS
,BIOFCO,,BIO,FCO,BIOFCO
,BIOGVA,,BIO,GVA,BIOGVA
,BIOMAD,,BIO,MAD,BIOMAD
,BIOMAN,,BIO,MAN,BIOMAN
,BIOSTN,,BIO,STN,BIOSTN
,BIQCDG,,BIQ,CDG,BIQCDG
,BJVBRS,,BJV,BRS,BJVBRS
,BJVLGW,,BJV,LGW,BJVLGW
,BJVLPL,,BJV,LPL,BJVLPL
,BJVSTN,,BJV,STN,BJVSTN
,BLQCDG,,BLQ,CDG,BLQCDG
,BLQLGW,,BLQ,LGW,BLQLGW
,BODBRS,,BOD,BRS,BODBRS
,BODBSL,,BOD,BSL,BODBSL
,BODGVA,,BOD,GVA,BODGVA
,BODLGW,,BOD,LGW,BODLGW
,BODLIS,,BOD,LIS,BODLIS
,BODLTN,,BOD,LTN,BODLTN
,BODLYS,,BOD,LYS,BODLYS
,BODMAD,,BOD,MAD,BODMAD
,BODMXP,,BOD,MXP,BODMXP
,BODNCE,,BOD,NCE,BODNCE
,BRILGW,,BRI,LGW,BRILGW
,BRIMXP,,BRI,MXP,BRIMXP
,BRSAGP,,BRS,AGP,BRSAGP
,BRSALC,,BRS,ALC,BRSALC
,BRSAMS,,BRS,AMS,BRSAMS
,BRSBCN,,BRS,BCN,BRSBCN
,BRSBFS,,BRS,BFS,BRSBFS
,BRSBJV,,BRS,BJV,BRSBJV
,BRSBOD,,BRS,BOD,BRSBOD
,BRSCDG,,BRS,CDG,BRSCDG
,BRSCFU,,BRS,CFU,BRSCFU
,BRSCPH,,BRS,CPH,BRSCPH
,BRSDLM,,BRS,DLM,BRSDLM
,BRSEDI,,BRS,EDI,BRSEDI
,BRSFAO,,BRS,FAO,BRSFAO
,BRSFCO,,BRS,FCO,BRSFCO
,BRSFNC,,BRS,FNC,BRSFNC
,BRSFUE,,BRS,FUE,BRSFUE
,BRSGLA,,BRS,GLA,BRSGLA
,BRSGVA,,BRS,GVA,BRSGVA
,BRSHER,,BRS,HER,BRSHER
,BRSINV,,BRS,INV,BRSINV
,BRSKRK,,BRS,KRK,BRSKRK
,BRSLIS,,BRS,LIS,BRSLIS
,BRSMAD,,BRS,MAD,BRSMAD
,BRSMJV,,BRS,MJV,BRSMJV
,BRSNAP,,BRS,NAP,BRSNAP
,BRSNCE,,BRS,NCE,BRSNCE
,BRSNCL,,BRS,NCL,BRSNCL
,BRSPFO,,BRS,PFO,BRSPFO
,BRSPMI,,BRS,PMI,BRSPMI
,BRSPRG,,BRS,PRG,BRSPRG
,BRSPSA,,BRS,PSA,BRSPSA
,BRSSXF,,BRS,SXF,BRSSXF
,BRSTFS,,BRS,TFS,BRSTFS
,BRSTLS,,BRS,TLS,BRSTLS
,BRUGVA,,BRU,GVA,BRUGVA
,BRULPL,,BRU,LPL,BRULPL
,BRULYS,,BRU,LYS,BRULYS
,BRUMXP,,BRU,MXP,BRUMXP
,BRUNCE,,BRU,NCE,BRUNCE
,BRUSXF,,BRU,SXF,BRUSXF
,BRUTLS,,BRU,TLS,BRUTLS
,BSLAGP,,BSL,AGP,BSLAGP
,BSLAJA,,BSL,AJA,BSLAJA
,BSLALC,,BSL,ALC,BSLALC
,BSLAMS,,BSL,AMS,BSLAMS
,BSLBCN,,BSL,BCN,BSLBCN
,BSLBOD,,BSL,BOD,BSLBOD
,BSLCAG,,BSL,CAG,BSLCAG
,BSLCPH,,BSL,CPH,BSLCPH
,BSLDRS,,BSL,DRS,BSLDRS
,BSLDUS,,BSL,DUS,BSLDUS
,BSLEDI,,BSL,EDI,BSLEDI
,BSLFCO,,BSL,FCO,BSLFCO
,BSLFUE,,BSL,FUE,BSLFUE
,BSLHAM,,BSL,HAM,BSLHAM
,BSLLGW,,BSL,LGW,BSLLGW
,BSLLIS,,BSL,LIS,BSLLIS
,BSLLPA,,BSL,LPA,BSLLPA
,BSLMAD,,BSL,MAD,BSLMAD
,BSLMAN,,BSL,MAN,BSLMAN
,BSLNAP,,BSL,NAP,BSLNAP
,BSLNCE,,BSL,NCE,BSLNCE
,BSLNTE,,BSL,NTE,BSLNTE
,BSLOLB,,BSL,OLB,BSLOLB
,BSLOPO,,BSL,OPO,BSLOPO
,BSLPMI,,BSL,PMI,BSLPMI
,BSLPRN,,BSL,PRN,BSLPRN
,BSLRAK,,BSL,RAK,BSLRAK
,BSLSAW,,BSL,SAW,BSLSAW
,BSLSKG,,BSL,SKG,BSLSKG
,BSLSXF,,BSL,SXF,BSLSXF
,BSLTFS,,BSL,TFS,BSLTFS
,BSLTLS,,BSL,TLS,BSLTLS
,BSLTLV,,BSL,TLV,BSLTLV
,BSLVCE,,BSL,VCE,BSLVCE
,BUDCDG,,BUD,CDG,BUDCDG
,BUDDTM,,BUD,DTM,BUDDTM
,BUDGVA,,BUD,GVA,BUDGVA
,BUDLGW,,BUD,LGW,BUDLGW
,BUDLTN,,BUD,LTN,BUDLTN
,BUDSXF,,BUD,SXF,BUDSXF
,CAGBSL,,CAG,BSL,CAGBSL
,CAGGVA,,CAG,GVA,CAGGVA
,CAGMXP,,CAG,MXP,CAGMXP
,CAGSTN,,CAG,STN,CAGSTN
,CAGSXF,,CAG,SXF,CAGSXF
,CDGAGA,,CDG,AGA,CDGAGA
,CDGAGP,,CDG,AGP,CDGAGP
,CDGAJA,,CDG,AJA,CDGAJA
,CDGBCN,,CDG,BCN,CDGBCN
,CDGBFS,,CDG,BFS,CDGBFS
,CDGBIA,,CDG,BIA,CDGBIA
,CDGBIQ,,CDG,BIQ,CDGBIQ
,CDGBLQ,,CDG,BLQ,CDGBLQ
,CDGBRS,,CDG,BRS,CDGBRS
,CDGBUD,,CDG,BUD,CDGBUD
,CDGCMN,,CDG,CMN,CDGCMN
,CDGCPH,,CDG,CPH,CDGCPH
,CDGCTA,,CDG,CTA,CDGCTA
,CDGEDI,,CDG,EDI,CDGEDI
,CDGFEZ,,CDG,FEZ,CDGFEZ
,CDGGLA,,CDG,GLA,CDGGLA
,CDGKRK,,CDG,KRK,CDGKRK
,CDGLIS,,CDG,LIS,CDGLIS
,CDGLPL,,CDG,LPL,CDGLPL
,CDGLTN,,CDG,LTN,CDGLTN
,CDGMAD,,CDG,MAD,CDGMAD
,CDGMXP,,CDG,MXP,CDGMXP
,CDGNCE,,CDG,NCE,CDGNCE
,CDGNCL,,CDG,NCL,CDGNCL
,CDGOPO,,CDG,OPO,CDGOPO
,CDGPRG,,CDG,PRG,CDGPRG
,CDGRAK,,CDG,RAK,CDGRAK
,CDGTLS,,CDG,TLS,CDGTLS
,CDGTNG,,CDG,TNG,CDGTNG
,CDGVCE,,CDG,VCE,CDGVCE
,CDGVRN,,CDG,VRN,CDGVRN
,CFUBRS,,CFU,BRS,CFUBRS
,CFULGW,,CFU,LGW,CFULGW
,CFULTN,,CFU,LTN,CFULTN
,CFUMAN,,CFU,MAN,CFUMAN
,CGNLGW,,CGN,LGW,CGNLGW
,CHQLGW,,CHQ,LGW,CHQLGW
,CMNCDG,,CMN,CDG,CMNCDG
,CMNLYS,,CMN,LYS,CMNLYS
,CMNMXP,,CMN,MXP,CMNMXP
,CPHBRS,,CPH,BRS,CPHBRS
,CPHBSL,,CPH,BSL,CPHBSL
,CPHCDG,,CPH,CDG,CPHCDG
,CPHGVA,,CPH,GVA,CPHGVA
,CPHLGW,,CPH,LGW,CPHLGW
,CPHLIS,,CPH,LIS,CPHLIS
,CPHMAD,,CPH,MAD,CPHMAD
,CPHMAN,,CPH,MAN,CPHMAN
,CPHMXP,,CPH,MXP,CPHMXP
,CPHSTN,,CPH,STN,CPHSTN
,CPHSXF,,CPH,SXF,CPHSXF
,CTACDG,,CTA,CDG,CTACDG
,CTAGVA,,CTA,GVA,CTAGVA
,CTALGW,,CTA,LGW,CTALGW
,CTAMXP,,CTA,MXP,CTAMXP
,DBVGVA,,DBV,GVA,DBVGVA
,DBVLGW,,DBV,LGW,DBVLGW
,DBVSTN,,DBV,STN,DBVSTN
,DLMBRS,,DLM,BRS,DLMBRS
,DLMEDI,,DLM,EDI,DLMEDI
,DLMLGW,,DLM,LGW,DLMLGW
,DLMMAN,,DLM,MAN,DLMMAN
,DLMSTN,,DLM,STN,DLMSTN
,DRSBSL,,DRS,BSL,DRSBSL
,DTMBCN,,DTM,BCN,DTMBCN
,DTMBUD,,DTM,BUD,DTMBUD
,DTMLTN,,DTM,LTN,DTMLTN
,DTMPMI,,DTM,PMI,DTMPMI
,DTMSKG,,DTM,SKG,DTMSKG
,DUSBSL,,DUS,BSL,DUSBSL
,DUSFCO,,DUS,FCO,DUSFCO
,DUSLGW,,DUS,LGW,DUSLGW
,EDIALC,,EDI,ALC,EDIALC
,EDIAMS,,EDI,AMS,EDIAMS
,EDIATH,,EDI,ATH,EDIATH
,EDIBFS,,EDI,BFS,EDIBFS
,EDIBRS,,EDI,BRS,EDIBRS
,EDIBSL,,EDI,BSL,EDIBSL
,EDICDG,,EDI,CDG,EDICDG
,EDIDLM,,EDI,DLM,EDIDLM
,EDIGVA,,EDI,GVA,EDIGVA
,EDIKRK,,EDI,KRK,EDIKRK
,EDILGW,,EDI,LGW,EDILGW
,EDILIS,,EDI,LIS,EDILIS
,EDILTN,,EDI,LTN,EDILTN
,EDILYS,,EDI,LYS,EDILYS
,EDIMAD,,EDI,MAD,EDIMAD
,EDIMUC,,EDI,MUC,EDIMUC
,EDIMXP,,EDI,MXP,EDIMXP
,EDINAP,,EDI,NAP,EDINAP
,EDINCE,,EDI,NCE,EDINCE
,EDIPFO,,EDI,PFO,EDIPFO
,EDIPMI,,EDI,PMI,EDIPMI
,EDISTN,,EDI,STN,EDISTN
,EDITFS,,EDI,TFS,EDITFS
,EFLLGW,,EFL,LGW,EFLLGW
,FAOBFS,,FAO,BFS,FAOBFS
,FAOBRS,,FAO,BRS,FAOBRS
,FAOGLA,,FAO,GLA,FAOGLA
,FAOGVA,,FAO,GVA,FAOGVA
,FAOLGW,,FAO,LGW,FAOLGW
,FAOLPL,,FAO,LPL,FAOLPL
,FAOLTN,,FAO,LTN,FAOLTN
,FAONCL,,FAO,NCL,FAONCL
,FAOORY,,FAO,ORY,FAOORY
,FAOSEN,,FAO,SEN,FAOSEN
,FCOAMS,,FCO,AMS,FCOAMS
,FCOATH,,FCO,ATH,FCOATH
,FCOBIO,,FCO,BIO,FCOBIO
,FCOBRS,,FCO,BRS,FCOBRS
,FCOBSL,,FCO,BSL,FCOBSL
,FCODUS,,FCO,DUS,FCODUS
,FCOGVA,,FCO,GVA,FCOGVA
,FCOLGW,,FCO,LGW,FCOLGW
,FCOLIS,,FCO,LIS,FCOLIS
,FCOLYS,,FCO,LYS,FCOLYS
,FCOMAD,,FCO,MAD,FCOMAD
,FCOMXP,,FCO,MXP,FCOMXP
,FCONCE,,FCO,NCE,FCONCE
,FCOORY,,FCO,ORY,FCOORY
,FCOPMO,,FCO,PMO,FCOPMO
,FCOSXF,,FCO,SXF,FCOSXF
,FCOTLS,,FCO,TLS,FCOTLS
,FCOVCE,,FCO,VCE,FCOVCE
,FEZCDG,,FEZ,CDG,FEZCDG
,FNCBRS,,FNC,BRS,FNCBRS
,FNCLGW,,FNC,LGW,FNCLGW
,FNCLIS,,FNC,LIS,FNCLIS
,FUEBRS,,FUE,BRS,FUEBRS
,FUEBSL,,FUE,BSL,FUEBSL
,FUELGW,,FUE,LGW,FUELGW
,FUELPL,,FUE,LPL,FUELPL
,GIBLGW,,GIB,LGW,GIBLGW
,GIBLPL,,GIB,LPL,GIBLPL
,GLAAGP,,GLA,AGP,GLAAGP
,GLAALC,,GLA,ALC,GLAALC
,GLAAMS,,GLA,AMS,GLAAMS
,GLABFS,,GLA,BFS,GLABFS
,GLABRS,,GLA,BRS,GLABRS
,GLACDG,,GLA,CDG,GLACDG
,GLAFAO,,GLA,FAO,GLAFAO
,GLAJER,,GLA,JER,GLAJER
,GLALGW,,GLA,LGW,GLALGW
,GLALTN,,GLA,LTN,GLALTN
,GLAPMI,,GLA,PMI,GLAPMI
,GLASTN,,GLA,STN,GLASTN
,GLASXF,,GLA,SXF,GLASXF
,GVAAGP,,GVA,AGP,GVAAGP
,GVAAJA,,GVA,AJA,GVAAJA
,GVAALC,,GVA,ALC,GVAALC
,GVAAMS,,GVA,AMS,GVAAMS
,GVAARN,,GVA,ARN,GVAARN
,GVAATH,,GVA,ATH,GVAATH
,GVABCN,,GVA,BCN,GVABCN
,GVABDS,,GVA,BDS,GVABDS
,GVABIA,,GVA,BIA,GVABIA
,GVABIO,,GVA,BIO,GVABIO
,GVABOD,,GVA,BOD,GVABOD
,GVABRS,,GVA,BRS,GVABRS
,GVABRU,,GVA,BRU,GVABRU
,GVABUD,,GVA,BUD,GVABUD
,GVACAG,,GVA,CAG,GVACAG
,GVACPH,,GVA,CPH,GVACPH
,GVACTA,,GVA,CTA,GVACTA
,GVADBV,,GVA,DBV,GVADBV
,GVAEDI,,GVA,EDI,GVAEDI
,GVAFAO,,GVA,FAO,GVAFAO
,GVAFCO,,GVA,FCO,GVAFCO
,GVAHER,,GVA,HER,GVAHER
,GVAHRG,,GVA,HRG,GVAHRG
,GVAIBZ,,GVA,IBZ,GVAIBZ
,GVALGW,,GVA,LGW,GVALGW
,GVALIS,,GVA,LIS,GVALIS
,GVALPL,,GVA,LPL,GVALPL
,GVALTN,,GVA,LTN,GVALTN
,GVAMAD,,GVA,MAD,GVAMAD
,GVAMAN,,GVA,MAN,GVAMAN
,GVANAP,,GVA,NAP,GVANAP
,GVANCE,,GVA,NCE,GVANCE
,GVANTE,,GVA,NTE,GVANTE
,GVAOLB,,GVA,OLB,GVAOLB
,GVAOPO,,GVA,OPO,GVAOPO
,GVAORY,,GVA,ORY,GVAORY
,GVAOVD,,GVA,OVD,GVAOVD
,GVAPMI,,GVA,PMI,GVAPMI
,GVAPRN,,GVA,PRN,GVAPRN
,GVARAK,,GVA,RAK,GVARAK
,GVASCQ,,GVA,SCQ,GVASCQ
,GVASPU,,GVA,SPU,GVASPU
,GVASSH,,GVA,SSH,GVASSH
,GVASXF,,GVA,SXF,GVASXF
,GVATLS,,GVA,TLS,GVATLS
